Data: 2024-04-03, Sensore: Accelerometer, x: 0, y: 0, z: -997
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: -52, y: 32, z: 171
Data: 2024-04-03, Sensore: Accelerometer, x: -1, y: 0, z: -997
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: -51, y: 34, z: 172
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: -57, y: 35, z: 172
Data: 2024-04-03, Sensore: Accelerometer, x: 0, y: 0, z: -997
Data: 2024-04-03, Sensore: Magnetometer, x: -55, y: 25, z: 184
Data: 2024-04-03, Sensore: Accelerometer, x: 0, y: 0, z: -996
Data: 2024-04-03, Sensore: Magnetometer, x: -45, y: 22, z: 189
Data: 2024-04-03, Sensore: Accelerometer, x: 0, y: 0, z: -997
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: -36, y: 19, z: 188
Data: 2024-04-03, Sensore: Accelerometer, x: -1, y: 0, z: -997
Data: 2024-04-03, Sensore: Gyroscope, x: -0.28, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: -41, y: 25, z: 186
Data: 2024-04-03, Sensore: Accelerometer, x: 0, y: 0, z: -997
Data: 2024-04-03, Sensore: Magnetometer, x: -48, y: 31, z: 175
Data: 2024-04-03, Sensore: Accelerometer, x: -1, y: 0, z: -997
Data: 2024-04-03, Sensore: Magnetometer, x: -51, y: 17, z: 181
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: -45, y: 15, z: 184
Data: 2024-04-03, Sensore: Accelerometer, x: 0, y: 0, z: -997
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: -36, y: 23, z: 174
Data: 2024-04-03, Sensore: Magnetometer, x: -36, y: 24, z: 180
Data: 2024-04-03, Sensore: Accelerometer, x: -1, y: 0, z: -997
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: -40, y: 24, z: 180
Data: 2024-04-03, Sensore: Accelerometer, x: 0, y: 0, z: -997
Data: 2024-04-03, Sensore: Magnetometer, x: -39, y: 29, z: 179
Data: 2024-04-03, Sensore: Accelerometer, x: 0, y: 0, z: -998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.42, y: 0.07, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: -37, y: 35, z: 166
Data: 2024-04-03, Sensore: Accelerometer, x: -1, y: 0, z: -997
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: -48, y: 34, z: 174
Data: 2024-04-03, Sensore: Accelerometer, x: 0, y: 0, z: -997
Data: 2024-04-03, Sensore: Magnetometer, x: -52, y: 35, z: 180
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 379, y: -95, z: -867
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 384, y: -100, z: -863
Data: 2024-04-03, Sensore: Gyroscope, x: -0.28, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 381, y: -95, z: -864
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 999
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 382, y: -90, z: -866
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 378, y: -95, z: -864
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 379, y: -97, z: -865
Data: 2024-04-03, Sensore: Magnetometer, x: 387, y: -94, z: -872
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 999
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 394, y: -92, z: -870
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 389, y: -85, z: -870
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 999
Data: 2024-04-03, Sensore: Gyroscope, x: -0.42, y: 0.07, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 384, y: -82, z: -872
